연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
2011,"11,869","11,597","14,033","9,377","22,325","27,373","33,799","77,564","4,687","1,009",677,693,"215,003"
2012,573,900,"11,337","13,306","12,751","11,607","16,190","34,155","43,375","66,229","12,615","8,388","231,426"
2013,"7,759","4,977","10,830","9,126","14,038","9,136","13,001","41,277","7,764","13,578","8,632","20,376","160,494"
2014,"59,521","88,170","10,380","3,932","11,590","10,127","55,879","70,186","33,564","36,174","10,431","29,078","419,032"
2015,"35,628","10,262","7,536","7,178","23,938","10,155","16,450","28,658","20,202","29,321","26,123","21,846","237,297"
2016,"6,172","6,869","10,602","14,531","18,375","4,909","7,020","16,476","10,060","10,626","9,686","7,495","122,821"
2017,"7,236","7,917","9,802","10,680","22,579","9,262","15,114","22,747","12,782","9,163","8,690","11,230","147,202"
2018,"7,195","6,329","6,754","10,391","13,405","16,083","4,961","16,865","11,583","9,206","8,357","10,929","122,058"
2019,"6,645","7,095","8,495","7,824","10,064","19,450","8,198","15,515","10,480","10,467","9,522","11,588","125,343"
2020,"15,507","2,087",0,39,"1,277","2,585",399,"5,400",302,"5,209","5,591","2,451","40,847"
